,hip_left,joints_angle1_ANGLE_HIPCOR_LEFT,knee_left,ankle_left,hip_right,joints_angle1_ANGLE_HIPCOR_RIGHT,knee_right,ankle_right,energy1_energy,footfall1_left,footfall1_right,distance1_distance
7236,-0.528075,-0.00017628900000000002,0.9737450000000001,0.036333,-0.0376314,-0.00012558600000000001,0.158986,-0.043356599999999995,1904.56,0,1,6.9520800000000005
7237,-0.5275810000000001,-0.00017685900000000002,0.968141,0.0360324,-0.0353481,-0.00012521,0.157907,-0.043787900000000005,1904.85,0,1,6.95343
7238,-0.527042,-0.000177455,0.9624389999999999,0.0357416,-0.033079000000000004,-0.000124819,0.156849,-0.0442019,1905.15,0,1,6.954789999999999
7239,-0.526459,-0.00017807400000000002,0.9566379999999999,0.0354602,-0.030826299999999997,-0.000124413,0.155813,-0.04459930000000001,1905.45,0,1,6.9561399999999995
7240,-0.525832,-0.000178714,0.9507389999999999,0.0351876,-0.028591900000000003,-0.000123994,0.154803,-0.0449805,1905.75,0,1,6.9575
7241,-0.525162,-0.00017937200000000002,0.9447409999999999,0.0349233,-0.026377800000000003,-0.000123564,0.153821,-0.0453461,1906.05,0,1,6.9588600000000005
7242,-0.5244479999999999,-0.000180045,0.938644,0.034667,-0.0241858,-0.000123123,0.152871,-0.0456967,1906.35,0,1,6.96022
7243,-0.523691,-0.00018072900000000002,0.9324479999999999,0.034418199999999996,-0.0220177,-0.00012267200000000002,0.151954,-0.046032800000000006,1906.65,0,1,6.96157
7244,-0.522892,-0.000181423,0.9261510000000001,0.0341769,-0.0198753,-0.000122214,0.151073,-0.046355099999999996,1906.96,0,1,6.96293
7245,-0.522051,-0.000182123,0.9197549999999999,0.0339427,-0.0177603,-0.000121749,0.15023,-0.04666409999999999,1907.27,0,1,6.964289999999999
7246,-0.521167,-0.000182825,0.913258,0.0337157,-0.0156741,-0.00012128,0.149429,-0.0469605,1907.57,0,1,6.96565
7247,-0.520241,-0.000183527,0.90666,0.03349559999999999,-0.0136184,-0.00012080700000000001,0.148671,-0.0472449,1907.88,0,1,6.96701
7248,-0.519274,-0.00018422599999999998,0.899961,0.033282599999999996,-0.0115944,-0.000120331,0.147957,-0.0475179,1908.19,0,1,6.968369999999999
7249,-0.518265,-0.00018491900000000002,0.8931610000000001,0.0330767,-0.00960349,-0.000119856,0.147291,-0.0477801,1908.5,0,1,6.96973
7250,-0.5172140000000001,-0.000185603,0.886259,0.032878199999999996,-0.00764683,-0.000119381,0.146674,-0.048032099999999994,1908.82,0,1,6.9711
7251,-0.516121,-0.00018627400000000003,0.8792549999999999,0.0326911,-0.0057255000000000006,-0.000118909,0.146107,-0.048274300000000006,1909.13,0,1,6.972460000000001
7252,-0.514988,-0.00018693,0.872149,0.032521800000000003,-0.00384049,-0.00011844,0.145593,-0.0485074,1909.44,0,1,6.97382
7253,-0.5138119999999999,-0.000187569,0.8649399999999999,0.0323763,-0.00199267,-0.00011797700000000001,0.14513199999999998,-0.048731699999999996,1909.76,0,1,6.97519
