,fit_std,fit_mean,fit_best
0,12.947562886284619,-37.95080778057829,-14.025234594390152
1,12.121168079296186,-34.27414157012054,-6.796212059955607
2,12.233290667214414,-32.11379908915116,-5.4630720088526274
3,11.066397272611816,-26.415981361198398,-2.8718441525598735
4,11.827126189659577,-25.920031092359118,-1.4891002458102847
5,9.342942278408653,-22.488780680109944,-3.757614782638676
6,9.239986763120303,-24.917265389501555,-6.5455127327763805
7,11.444827161113698,-19.705171397925334,-1.1076686157558306
8,8.356341934381657,-23.704970811272798,-6.844663665354785
9,10.369601998064054,-20.36452870495752,-2.1325900539913576
10,9.539437643238877,-21.514074749819343,-1.6225686097281766
11,11.06108901204494,-20.84266917887693,-1.2304367077977005
12,12.362686740237695,-21.191080995506972,-1.1957235865834477
13,10.99849846839384,-22.18573691753417,-1.0582412791325737
14,10.585499871988874,-19.203635376091864,-3.1699542765304543
15,9.95722832481,-21.096177006310157,-2.0607463551604006
16,10.308222699884613,-18.796757030388527,-2.718795359488958
17,11.416968075233333,-22.07188146579321,-1.030849908630593
18,11.766640086030076,-18.891277281856624,-2.3149938685953657
19,9.589967042268945,-20.052836358456833,-1.6443536112086719
