,fit_std,fit_mean,fit_best
0,43.371074284386005,-65.55340623319401,-1.2802762045813132
1,39.1685533943227,-57.92765983687493,-0.5816514697343169
2,35.27166815484102,-49.50004839314592,-0.32386319621469295
3,31.478957906911877,-41.776568025664986,-0.23251724669298549
4,27.808213610746815,-34.927984398082096,-0.12958168017674443
5,24.293253151132397,-28.88625620111751,-0.021185134270316403
6,20.95352158166841,-23.60858174769949,-0.3205478312403419
7,17.811161893806094,-19.06386490364777,-0.08828867934402569
8,14.899258629239638,-15.21303045538453,-0.5939443117097951
9,12.237857775229148,-11.92238351546689,-0.17875313203643298
10,9.82077863058157,-9.179103843857773,-0.032443622382013544
11,7.658766133844206,-6.975013701671202,-0.0002041009717621549
12,5.768143204434934,-5.199865538286648,-0.016571181658060527
13,4.187158633156719,-3.8161707625679155,-0.12424497340167959
14,2.9069340035903384,-2.725454823788044,-0.02048408199135846
15,1.8558181869550217,-1.8847437838165277,-0.046600307205908985
16,1.1124476363540028,-1.36800116518669,-0.028614587617947926
17,0.8466171446905876,-1.115162406187848,-0.001518882121293121
18,0.803824041273396,-1.0205091936067718,-0.020309638390677034
19,0.6670959168064641,-1.0045990909731877,-0.008184215984816567
