,fit_std,fit_mean,fit_best
0,14.073365802506018,-37.264857265486,-11.491395156297038
1,6.912690309808802,-19.176766932616054,-4.078944204383328
2,6.561042218550031,-10.009478225285255,-1.6058500354668794
3,5.025449235948622,-6.131616788044621,-1.037745745351053
4,0.9441283885642437,-1.7493586192389814,-1.0234148937775842
5,1.7141118834076428,-1.907395050067573,-1.0234148937775842
6,1.3494154216517449,-1.7137655315507778,-1.0210703843315692
7,1.8945153412304552,-1.9305153215684465,-1.011264145193028
8,1.0582497187836344,-1.5751263729045153,-1.0062166412849152
9,1.4294400863626164,-1.6792900347988513,-1.0035251566237555
10,1.9738568125362927,-2.106097500704341,-1.0006573016282374
11,2.4446720569326343,-2.343359097688618,-1.0000745301482645
12,2.500431068814676,-2.192183440593817,-0.9994582122638
13,2.119208283476619,-2.057926253336055,-0.9980281173766699
14,2.4136655564971004,-2.3481711821699456,-0.9980281173766699
15,1.2723798410995903,-1.567874508453623,-0.996870242971621
16,1.8102204646361757,-1.9729152132326453,-0.9967082579072652
17,2.4792878723192837,-2.6057393322819338,-0.9964957856180732
18,1.262564534561445,-1.4923427843620432,-0.9962893923776974
19,1.3209063555875478,-1.5884563009851538,-0.9960376175469179
