,fit_std,fit_mean,fit_best
0,14.226128637698377,-40.2701096381903,-9.776796184314147
1,9.652446686671633,-20.286371060123756,-3.822037026900823
2,5.193467603236036,-8.318673165878431,-2.001609497502006
3,3.2435104660430296,-4.1273770718470555,-1.9955804053726531
4,2.358169666018267,-3.486621390170191,-1.9955804053726531
5,2.9382303992266086,-3.9061592238078595,-1.9941840180074522
6,2.752499055411759,-4.075109884563469,-1.9903043506596845
7,2.7104192339139725,-3.9026003294294065,-1.9903043506596845
8,3.552675702096497,-4.489420594281072,-1.9903043506596845
9,2.1855463298146596,-3.5933938851440312,-1.9903043506596845
10,2.3863678056247632,-3.8901877615051528,-1.9903043506596845
11,2.206868111390312,-3.677237966890951,-1.9903043506596845
12,2.2950889645737713,-3.875231095140761,-1.9903043506596845
13,2.0311286564501287,-3.648809995432888,-1.9903043506596845
14,2.49350396354161,-3.917219398866322,-1.9903043506596845
15,2.4312217149592485,-3.8911477703479975,-1.9903043506596845
16,2.484336866752116,-3.494258405459677,-1.9903043506596845
17,2.101705789957096,-3.698736348535847,-1.9903043506596845
18,2.0960228558302276,-3.303074942012822,-1.9903043506596845
19,1.8913328878786986,-3.4720481276624717,-1.989936901624045
