,fit_std,fit_mean,fit_best
0,47.99437614284377,-59.402567504789616,-0.4936872413639711
1,3.083398956726346,-3.8347522001697794,-0.10438179162983899
2,0.18299073123768342,-0.35677688630504656,-0.06495621816694927
3,0.01717902375527877,-0.08333437174431964,-0.049946122195296906
4,0.009373066388103849,-0.05836102677611791,-0.03920020199463688
5,0.006748671253306112,-0.04370818642886767,-0.029924048102703927
6,0.004167582798798176,-0.030754880563501584,-0.01743398853157171
7,0.004246521660260023,-0.02197379337329606,-0.015186277787382685
8,0.00193534841018553,-0.015646046165427373,-0.0110958227776933
9,0.0013979045357389538,-0.012384906918796935,-0.009518041933490552
10,0.0016192649820535423,-0.010017437565077501,-0.006661479776172292
11,0.0010898645618309057,-0.0073035988901825255,-0.005188427752960987
12,0.0006079880397815099,-0.005712658813525558,-0.0044254964950139735
13,0.0005888672494719747,-0.004683690466659889,-0.0034421666162082276
14,0.0005199876288526652,-0.003681743583724659,-0.002729093428349713
15,0.00032882981179271486,-0.0029189154684208024,-0.002117935264966274
16,0.00034196596627245616,-0.002385394192089445,-0.0016699825963272367
17,0.00021655654932429316,-0.0017990670138347882,-0.0013178305800227734
18,0.00017607360135036393,-0.0014024117226405083,-0.0010153768567807723
19,0.00011075020233675393,-0.0011176319569964341,-0.0009320486728815157
