,fit_1_std,fit_1_mean,fit_1_best,fit_2_std,fit_2_mean,fit_2_best
0,0.1401272416114807,-0.9613440632820129,-0.1697307825088501,0.20219136774539948,-0.9358288645744324,-0.07120031118392944
1,0.16653984785079956,-0.9393488168716431,-0.16114050149917603,0.20414477586746216,-0.9209603071212769,-0.08596765995025635
2,0.2420092225074768,-0.8900236487388611,-0.05530005693435669,0.18387076258659363,-0.9082025289535522,-0.256733238697052
3,0.27306705713272095,-0.8466560244560242,-0.06189841032028198,0.21059098839759827,-0.8709485530853271,-0.030242085456848145
4,0.23922604322433472,-0.8096259236335754,-0.1411057710647583,0.28889214992523193,-0.7954769134521484,-0.022582590579986572
5,0.28944286704063416,-0.7437916398048401,-0.008591830730438232,0.3010239601135254,-0.7312085628509521,-0.03427332639694214
6,0.29571789503097534,-0.7164066433906555,-0.038158118724823,0.3168086111545563,-0.6970813274383545,-0.048148155212402344
7,0.24038414657115936,-0.7659974694252014,-0.18493574857711792,0.30683621764183044,-0.6714313626289368,-0.0019590258598327637
8,0.21966083347797394,-0.8305374979972839,-0.1751267910003662,0.30096110701560974,-0.6618692874908447,-0.021256327629089355
9,0.17956793308258057,-0.8998838067054749,-0.2507452368736267,0.29259178042411804,-0.6738492846488953,-0.020985186100006104
10,0.11310229450464249,-0.9578668475151062,-0.357035756111145,0.2800062894821167,-0.7269607782363892,-0.03946971893310547
11,0.05196233466267586,-0.9857488870620728,-0.7174586057662964,0.21917550265789032,-0.8212669491767883,-0.24208545684814453
12,0.010899205692112446,-0.9973697662353516,-0.9363316893577576,0.14100219309329987,-0.9104999303817749,-0.4129601716995239
13,0.001344106043688953,-0.9996911883354187,-0.9926437139511108,0.0876755565404892,-0.9656684994697571,-0.44153672456741333
14,0.0001174791541416198,-0.9999754428863525,-0.9992595314979553,0.041821204125881195,-0.9895943999290466,-0.7069829702377319
15,6.366921752487542e-06,-0.9999988675117493,-0.9999558329582214,0.010907076299190521,-0.9977375864982605,-0.9233570098876953
16,1.372994233861391e-07,-1.0,-0.9999990463256836,0.0014638743596151471,-0.9996917843818665,-0.9902079701423645
17,0.0,-1.0,-1.0,0.00011111803905805573,-0.9999755024909973,-0.9993736743927002
18,0.0,-1.0,-1.0,4.59499642602168e-06,-0.999998927116394,-0.9999753832817078
19,0.0,-1.0,-1.0,1.1199666971606348e-07,-1.0,-0.9999994039535522
