left_gas,left_glu,left_hab,left_had,left_ham,left_hf,left_sol,left_ta,left_vas,right_gas,right_glu,right_hab,right_had,right_ham,right_hf,right_sol,right_ta,right_vas
95.0306,12.4274,30,44.9997,40.3614,1583.47,72.0715,142.756,0,104.917,4.58596,30,44.9997,6.0129,2449.38,36.4999,95.7794,0
107.368,16.6873,30,44.9997,31.6969,1498.69,184.352,88.2046,0,102.426,4.98156,30,44.9997,6.28477,2422.87,48.5591,93.6043,0
97.3544,15.0177,30,44.9997,24.2822,1515.19,232.692,66.5684,0,100.463,4.61566,30,44.9997,6.2608,2426.79,51.4864,98.1815,5.86847
42.525,11.0986,30,44.9997,17.6123,1674.83,88.3157,130.246,0,98.2239,3.87348,30,44.9997,5.89988,2439.45,41.7219,112.662,17.4021
54.9774,10.4995,30,44.9997,12.7913,1699.29,153.892,98.9782,0,93.9294,3.48216,30,44.9997,5.61541,2408.32,26.8325,135.557,19.9791
78.4604,11.9418,30,44.9997,10.3243,1674.95,277.968,54.752,4.76897,84.8304,3.78093,30,44.9997,5.59492,2404.48,16.2262,160.435,24.4983
23.569,16.3623,30,44.9997,9.25202,1559.89,133.059,105.582,38.4799,73.3964,3.94924,30,44.9997,5.73927,2376,9.6815,186.627,28.1997
13.0075,17.6554,30,44.9997,8.23237,1495.4,134.268,107.417,60.8839,62.7669,3.73099,30,44.9997,5.59671,2368.64,5.00295,216.584,26.3198
32.5472,13.8667,30,44.9997,7.14359,1539.6,304.764,48.5971,62.0774,51.3001,3.47866,30,44.9997,5.27469,2328,1.34271,242.813,23.4913
12.4764,11.7459,30,44.9997,6.43114,1602.84,199.245,72.1962,56.7041,38.9369,3.35296,30,44.9997,5.04262,2275.07,0,251.418,22.6323
1.53678,11.8696,30,44.9997,6.02062,1604.26,112.894,110.022,61.8996,28.26,3.27981,30,44.9997,4.90291,2208.71,0,257.731,23.099
9.69971,13.3832,30,44.9997,5.7933,1557.05,239.619,56.3225,86.7813,20.6928,3.25211,30,44.9997,4.79661,2184.12,0,261.709,23.8579
6.83151,15.3308,30,44.9997,6.05366,1487.51,236.713,51.5813,121.114,15.8385,3.18659,30,44.9997,4.69877,2124.54,0,265.525,24.5279
0,16.0551,30,44.9997,6.69587,1441.82,110.889,97.5091,143.314,12.8684,3.0932,30,44.9997,4.56329,2048.59,0,268.89,24.9842
0.277538,15.066,30,44.9997,7.52332,1427.33,181.526,71.4022,145.203,11.204,3.00006,30,44.9997,4.39464,1967,0,272.551,25.7507
6.08561,18.7165,30,44.9997,9.42344,1131.05,362.336,29.2674,225.613,9.85432,3.05715,30,44.9997,4.55754,1890.64,0,275.71,30.305
3.05998,19.3391,30,44.9997,14.2178,801.001,327.372,33.1134,263.888,8.06939,3.18961,30,44.9997,4.92419,1808.05,0,279.562,41.1762
0,17.6805,30,44.9997,22.075,722.059,109.239,98.4996,123.613,5.26558,3.24572,30,44.9997,4.7652,1724.02,0,285.429,53.2472
0,13.1209,30,44.9997,26.77,864.737,0.797197,193.659,64.3756,1.62686,3.11713,30,44.9997,4.25602,1649.14,0,293.679,54.9668
0,10.0701,30,44.9997,27.149,1189.72,0,345.171,32.0427,0,3.06517,30,44.9997,3.86398,1548.44,0,313.281,57.9406
0,9.79124,30,44.9997,28.9974,1460.95,0,566.907,22.8788,0,3.74864,30,44.9997,4.36697,1282.24,0,307.524,72.4533
0,16.6793,30,44.9997,22.7343,1234.35,0,432.144,63.8911,0,10.624,30,44.9997,7.12686,511.093,0,295.43,446.652
0,15.5926,30,44.9997,32.0747,1234.75,0,353.145,63.3215,0,131.953,30,44.9997,11.5001,81.6669,0,299.026,1870.9
0,10.7612,30,44.9997,44.8402,1411.13,0,256.049,32.2423,0,634.89,30,44.9997,15.2676,0,0,206.207,5808.12
0,9.39472,30,44.9997,62.8027,1438.01,0,160.718,16.038,0,1877.27,30,44.9997,19.4695,0,117.346,28.6962,13358.1
0,8.66993,30,44.9997,82.7783,1463.24,0,133.118,7.28368,0,3933.99,30,44.9997,30.0382,0,245.417,13.0097,23542.4
4.65327,8.28736,30,44.9997,96.2659,1513.87,0,126.373,3.4569,0,6578.66,30,44.9997,54.4119,0,227.099,21.1329,34383.2
21.6913,7.39279,30,44.9997,95.7454,1561.97,0,129.151,1.58282,0,9385.92,30,44.9997,102.65,0,513.762,2.83108,44090.1
43.4832,4.89216,30,44.9997,83.6212,1594.56,0,128.242,0,0,11901.1,30,44.9997,142.914,0,1184.5,0,51519.6
69.5972,0.00709599,30,44.9997,71.0937,1874.37,0,126.121,0,0,13844.5,30,44.9997,175.608,0,1814.94,0,56420.4
84.9109,0,30,44.9997,71.0332,1992.3,0,124.976,0,0,15616.4,30,44.9997,227.166,0,2101.02,0,59447.6
67.8508,17.1279,30,44.9997,96.6143,1346.69,0,124.33,4.8339,0,18263.3,30,44.9997,331.025,0,2229.06,0,61524.5
33.5979,87.808,30,44.9997,152.657,1026.24,0,123.047,42.4141,0,21924.3,30,44.9997,577.925,0,2450.15,0,62555.7
16.6683,180.153,30,44.9997,214.897,781.273,0,121.19,46.2994,0,25600.6,30,44.9997,912.246,0,2782.29,0,61938.3
18.5475,179.601,30,44.9997,247.98,929.469,0,116.974,42.6946,0,28238.6,30,44.9997,1252.04,0,3069.62,0,59522.1
41.5719,96.7117,30,44.9997,236.926,892.217,0,106.985,15.2357,0,29164.7,30,44.9997,1490.86,0,3185.37,0,55447
93.5619,27.843,30,44.9997,199.098,1314.08,0,89.3472,1.09037,0,28442.4,30,44.9997,1604.12,0,3132.93,0,50030.8
158.876,3.26968,30,44.9997,164.965,1678.71,0,72.0101,0,0,26846,30,44.9997,1677.56,0,3014.28,0,43696.7
168.416,13.6816,30,44.9997,151.833,1423.92,0.00178599,57.4838,9.3079,0,25126.2,30,44.9997,1823.98,0,2906.61,0,36733.1
158.708,71.2336,30,44.9997,158.272,922.781,10.3153,45.642,38.9171,0,23338.2,30,44.9997,2090.33,0,2769.34,1.80428,29163.3
127.477,163.389,30,44.9997,172.562,665.338,34.1815,37.0759,88.4279,4.59604,21001.1,30,44.9997,2450.18,0,2566.02,11.4973,21004.8
98.3547,245.952,30,44.9997,181.872,495.97,64.4907,31.2383,137.863,69.2261,17856,30,44.9997,2876.81,0,2341.66,25.926,12779
82.5723,273.852,30,44.9997,185.102,476.435,100.002,26.8811,134.252,228.794,14392.5,30,44.9997,3418.87,0,2110.05,42.4479,5770.56
76.2764,268.459,30,44.9997,196.357,513.208,138.108,24.0079,82.2198,457.461,11508,30,44.9997,4176.98,0,1838.82,63.6019,2029.16
77.8119,248.238,30,44.9997,221.415,567.649,177.511,22.2523,53.1925,715.788,9474.21,30,44.9997,5176.28,0,1601.78,83.7771,410.333
99.8462,174.47,30,44.9997,241.724,796.116,226.78,20.0939,38.6943,999.083,7837.21,30,44.9997,6296.76,0,1429.49,97.8542,0.191545
138.302,58.616,30,44.9997,230.378,1420.16,295.513,17.0123,11.1774,1291.42,6072.51,30,44.9997,7326,0,1246.04,114.795,0
219.381,3.66736,30,44.9997,196.866,2162.03,316.102,15.9541,0,1558.54,4335.42,30,44.9997,8119.84,0,1066.54,133.194,0
292.851,0,30,44.9997,185.567,2734.3,306.124,19.5575,0,1739.25,3307.84,30,44.9997,8794.97,0,963.568,139.074,0
262.827,17.4945,30,44.9997,224.347,1907.43,282.32,27.6506,0,1746.55,3189.33,30,44.9997,9701.95,0,832.533,151.823,0
