left_gas,left_glu,left_hab,left_had,left_ham,left_hf,left_sol,left_ta,left_vas,right_gas,right_glu,right_hab,right_had,right_ham,right_hf,right_sol,right_ta,right_vas
0.0433054,0.01,0.01,0.01,0.0190341,0.900815,0.0260532,0.238602,0.0191314,0.044202,0.0115504,0.01,0.01,0.0190996,0.707099,0.0248663,0.238868,0.0692992
0.0451179,0.01,0.01,0.01,0.0181703,0.910299,0.0291735,0.245073,0.0182583,0.0472051,0.0114021,0.01,0.01,0.0182295,0.735106,0.0269384,0.245573,0.0701809
0.0464456,0.01,0.01,0.01,0.0173891,0.918876,0.0320297,0.249954,0.0174687,0.0498964,0.0112681,0.01,0.01,0.0174426,0.760434,0.0286796,0.250703,0.0717028
0.047366,0.01,0.01,0.01,0.0166826,0.926633,0.0343688,0.253282,0.0167545,0.052001,0.0111468,0.01,0.01,0.016731,0.783341,0.0300752,0.254242,0.0735418
0.0479462,0.01,0.01,0.01,0.0160436,0.933648,0.0361344,0.25507,0.0161087,0.0535007,0.0110372,0.01,0.01,0.0160874,0.804057,0.031143,0.256186,0.0754367
0.0482437,0.01,0.01,0.01,0.0154657,0.939993,0.0374162,0.255474,0.0155246,0.0544936,0.010938,0.01,0.01,0.0155053,0.822793,0.031906,0.256545,0.0775614
0.0483085,0.01,0.01,0.01,0.0149431,0.94573,0.038292,0.254876,0.0149963,0.0550646,0.0108483,0.01,0.01,0.0149789,0.839737,0.0324122,0.25548,0.0800785
0.0481831,0.01,0.01,0.01,0.0144704,0.95092,0.038829,0.253716,0.0145186,0.0552867,0.0107672,0.01,0.01,0.0145028,0.855061,0.0327046,0.253242,0.0829434
0.0479042,0.01,0.01,0.01,0.014043,0.955613,0.0390851,0.252383,0.0140865,0.0552226,0.0106938,0.01,0.01,0.0140723,0.86892,0.0328202,0.25008,0.0860233
0.047503,0.01,0.01,0.01,0.0136564,0.959857,0.0391101,0.251198,0.0136958,0.0549263,0.0106275,0.01,0.01,0.0136829,0.881454,0.0327907,0.246321,0.0888135
0.0470061,0.01,0.01,0.01,0.0133068,0.963695,0.0389468,0.250416,0.0133424,0.0544438,0.0105675,0.01,0.01,0.0133307,0.892789,0.0326434,0.24229,0.091101
0.046436,0.01,0.01,0.01,0.0129906,0.967167,0.0386317,0.250246,0.0130228,0.0538143,0.0105132,0.01,0.01,0.0130123,0.90304,0.0324017,0.238291,0.0929352
0.0458118,0.01,0.01,0.01,0.0127046,0.968349,0.0381961,0.250781,0.0127338,0.0530712,0.0104641,0.01,0.01,0.0127242,0.906428,0.0320854,0.234554,0.0943625
