joints_angle1_ANGLE_HIP_LEFT,joints_angle1_ANGLE_HIPCOR_LEFT,joints_angle1_ANGLE_KNEE_LEFT,joints_angle1_ANGLE_ANKLE_LEFT,joints_angle1_ANGLE_HIP_RIGHT,joints_angle1_ANGLE_HIPCOR_RIGHT,joints_angle1_ANGLE_KNEE_RIGHT,joints_angle1_ANGLE_ANKLE_RIGHT,energy1_energy,footfall1_left,footfall1_right,distance1_distance
-0.542251,-5.66646e-05,0.311668,0.0762484,-0.354152,-0.000116104,0.95948,0.188451,63.7872,1,0,0.174844
-0.541652,-5.66537e-05,0.312314,0.0747587,-0.359576,-0.000116419,0.967017,0.183573,64.1679,1,0,0.17607899999999999
-0.541026,-5.66516e-05,0.312956,0.0732924,-0.364945,-0.000116733,0.974461,0.178489,64.5445,1,0,0.177311
-0.54037,-5.66592e-05,0.313593,0.071849,-0.37026,-0.000117044,0.981812,0.173226,64.9197,1,0,0.178541
-0.539686,-5.66753e-05,0.314225,0.07042799999999999,-0.375519,-0.000117351,0.989071,0.16781300000000002,65.2922,1,0,0.179769
-0.538971,-5.67004e-05,0.314849,0.06902849999999999,-0.380725,-0.000117655,0.996237,0.16228399999999998,65.6626,1,0,0.18099500000000002
-0.538226,-5.67335e-05,0.315466,0.0676497,-0.385876,-0.000117953,1.00331,0.156668,66.0299,1,0,0.18221800000000002
-0.53745,-5.67734e-05,0.316072,0.0662905,-0.390974,-0.000118248,1.01029,0.15099500000000002,66.3937,1,0,0.18344000000000002
-0.536641,-5.6819399999999987e-05,0.31666700000000003,0.0649498,-0.396018,-0.000118539,1.01718,0.145293,66.7553,1,0,0.184659
-0.535798,-5.68711e-05,0.317249,0.0636264,-0.401008,-0.000118825,1.02399,0.139587,67.1128,1,0,0.185877
-0.534921,-5.69272e-05,0.317815,0.0623189,-0.405946,-0.000119107,1.0307,0.133902,67.4667,1,0,0.187093
-0.534008,-5.69873e-05,0.318365,0.0610261,-0.410832,-0.000119384,1.03732,0.12826300000000002,67.8181,1,0,0.188307
-0.533058,-5.70507e-05,0.318895,0.05974680000000001,-0.415666,-0.000119657,1.04386,0.122691,68.165,1,0,0.18952
-0.532071,-5.71162e-05,0.319404,0.0584794,-0.4204479999999999,-0.000119925,1.0503,0.117206,68.5087,1,0,0.19072999999999998
-0.531045,-5.718350000000001e-05,0.319891,0.0572228,-0.425179,-0.000120189,1.05667,0.111826,68.8496,1,0,0.19194
-0.52998,-5.7252e-05,0.320354,0.0559757,-0.429859,-0.000120448,1.06294,0.106566,69.1883,1,0,0.193147
-0.528874,-5.73224e-05,0.320792,0.054737,-0.434489,-0.0001207,1.06913,0.10144,69.523,1,0,0.194353
-0.527728,-5.73937e-05,0.321202,0.0535057,-0.439068,-0.000120948,1.07524,0.0964601,69.8554,1,0,0.19555799999999998
-0.52654,-5.74653e-05,0.32158400000000004,0.0522809,-0.443597,-0.000121191,1.08125,0.0916337,70.1836,1,0,0.196761
-0.525311,-5.75363e-05,0.321936,0.051062,-0.448075,-0.000121429,1.08718,0.0869666,70.5099,1,0,0.197964
-0.52404,-5.76062e-05,0.322258,0.0498482,-0.452504,-0.000121665,1.09302,0.08246260000000001,70.8324,1,0,0.199164
-0.522727,-5.76738e-05,0.322549,0.0486394,-0.456883,-0.000121899,1.09877,0.0781281,71.1524,1,0,0.20036400000000001
-0.5213720000000001,-5.77399e-05,0.322809,0.0474346,-0.461213,-0.00012213,1.10444,0.0739661,71.4695,1,0,0.20156300000000002
-0.519976,-5.78028e-05,0.323037,0.0462341,-0.4654930000000001,-0.00012236,1.11001,0.06997660000000001,71.7834,1,0,0.20276
-0.51854,-5.786310000000001e-05,0.323233,0.0450373,-0.469725,-0.000122588,1.11549,0.06615789999999999,72.0945,1,0,0.203957
-0.5170640000000001,-5.79197e-05,0.323397,0.043844699999999986,-0.473909,-0.000122816,1.12088,0.0625057,72.4029,1,0,0.205152
-0.515548,-5.79735e-05,0.32353000000000004,0.0426559,-0.478045,-0.000123044,1.12617,0.0590192,72.7088,1,0,0.20634699999999997
-0.513994,-5.80237e-05,0.32363200000000003,0.0414717,-0.482134,-0.000123271,1.1313799999999998,0.0556946,73.0115,1,0,0.20754099999999998
