LGRF_GRFx,LGRF_GRFy,moments_ankle_l,moments_ankle_r,moments_hip_l,moments_hip_r,moments_knee_l,moments_knee_r,RGRF_GRFx,RGRF_GRFy,act_bifemlh_l,act_bifemlh_r,act_glut_max_l,act_glut_max_r,act_med_gas_l,act_med_gas_r,act_psoas_l,act_psoas_r,act_soleus_l,act_soleus_r,act_tib_ant_l,act_tib_ant_r,act_vas_int_l,act_vas_int_r,angles_ankle_l,angles_ankle_r,angles_hip_l,angles_hip_r,angles_knee_l,angles_knee_r,angles_trunk,velocities_ankle_l,velocities_ankle_r,velocities_hip_l,velocities_hip_r,velocities_knee_l,velocities_knee_r,velocities_trunk
3.8346367498486105e-238,-1.5391351118068317e-236,0.0,0.0,0.0,0.0,0.2617993877991494,0.2617993877991494,3.834636749848644e-238,-1.5391351118068332e-236,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,0.04619349673167572,8.55707719598776e-36,5.929094317748657e-36,0.0,0.0,0.0,0.0,0.2,8.55707719598776e-33,5.929094317748658e-33,0.0,0.0,0.0,0.0,0.2
2.785342724337867e-224,2.3906368490452643e-224,1.6129581348575968,1.6129581348575968,-7.333014803519051,-7.333014803519051,-1.4693300708071175,-1.4693300708071175,2.7853427243378696e-224,2.3906368490452662e-224,0.049990451529004484,0.049990451529004484,0.0639060933874471,0.0639060933874471,0.04364620424030795,0.04364620424030795,0.03494898855111856,0.03494898855111856,0.031941213353297984,0.031941213353297984,0.07307282229377295,0.07307282229377295,0.053732603213345526,0.053732603213345526,0.006679363728423818,0.006679363728423818,-0.000985422540974245,-0.000985422540974245,0.0011643302376638405,0.0011643302376638405,0.20031005433254853,1.6718285716232715,1.6718285716232715,-0.1907094589116739,-0.1907094589116739,0.20600119801595676,0.20600119801595676,0.20031005433254853
-1.500161599404023e-225,-1.336543242895413e-225,-0.20312199454367685,-0.20312199454367685,-5.455209725327054,-5.455209725327054,-2.3073111603420804,-2.3073111603420866,-1.5001615994039433e-225,-1.3365432428953603e-225,0.05138723632994546,0.05138723632994546,0.07042202183921194,0.07042202183921194,0.042709132395787504,0.042709132395787504,0.030812474170776625,0.030812474170776625,0.026698229471681302,0.026698229471681302,0.08296091298979462,0.08296091298979462,0.056506012407913885,0.056506012407913885,0.037068268808712605,0.037068268808712605,-0.003623871004275458,-0.003623871004275458,0.003563343689015201,0.003563343689015201,0.20125284662279214,3.6164124123971226,3.6164124123971226,-0.31703689766135773,-0.31703689766135773,0.2624064489818692,0.26240644898186966,0.20125284662279214
-4.480025955024336e-224,-4.2495681480992462e-224,-2.9932187760346567,-2.9932187760346567,10.844450504686137,10.844450504686137,3.5571669308777647,3.5571669308777647,-4.480025955024342e-224,-4.249568148099253e-224,0.051901083980526584,0.051901083980526584,0.0728190944047483,0.0728190944047483,0.057875179171251775,0.057875179171251775,0.029290737827066718,0.029290737827066718,0.024769446349336217,0.024769446349336217,0.4160049153619587,0.4160049153619587,0.05752629112068972,0.05752629112068972,0.0647471923808076,0.06474719238080759,-0.006389534287207932,-0.00638953428720793,0.005790169373655962,0.005790169373655962,0.20228818440625024,1.244178564707557,1.2441785647075432,-0.21090459455047877,-0.21090459455047877,0.2030111312489053,0.2030111312489053,0.20228818440625024
-1.4120216387951188e-224,-1.9707910672246599e-224,-0.4271282580274498,-0.4271282580274498,12.21516680382097,12.21516680382097,4.17427407547923,4.17427407547923,-1.4120216387951188e-224,-1.970791067224662e-224,0.05209011945045442,0.05209011945045442,0.0737009350405183,0.0737009350405183,0.0709195059889471,0.0709195059889471,0.028730917918356007,0.028730917918356007,0.024059881124100447,0.024059881124100447,0.4454880935518046,0.4454880935518046,0.05790163362874407,0.05790163362874407,0.046100481071123696,0.04610048107112368,-0.007617872646306405,-0.007617872646306405,0.008096227084144795,0.008096227084144795,0.2025493891966595,-3.8643434666177785,-3.8643434666177785,-0.046296495223839725,-0.046296495223839725,0.24526455332921082,0.24526455332921082,0.2025493891966595
9.895057170269207e-224,7.705588246827045e-224,4.790126518430134,4.790126518430134,11.196983557229743,11.196983557229743,6.709467857649133,6.709467857649133,9.895057170269222e-224,7.705588246827054e-224,0.05215966204568022,0.05215966204568022,0.0740253476304436,0.0740253476304436,0.07285150758518444,0.07285150758518444,0.028524970699425663,0.028524970699425663,0.029595828222434745,0.029595828222434745,0.4321582568813736,0.4321582568813736,0.05803971508043481,0.05803971508043481,0.027805810493352026,0.02780581049335201,-0.006659134338574573,-0.006659134338574572,0.009326592120877377,0.009326592120877377,0.201865304814328,1.5850256405084104,1.5850256405084104,0.2039073242395724,0.2039073242395724,0.02528772125900275,0.02528772125900275,0.20186530481432802
-0.0,118.21994115948871,9.177260882166678,8.58262082888097,10.07648307116673,-12.248280176879327,-3.4464708317466,-4.460138592045222,-0.0,115.57834926432163,0.07296433303164099,0.055005172489834685,0.08086453525244955,0.07468072805768977,0.08621960790923554,0.06976012029346629,0.02844920719291105,0.35217822141217514,0.044458373030527576,0.03433639071221534,0.4045455608345007,0.4108797845772991,0.06842808649763109,0.06361545300704356,-0.0029029311541200263,-0.002993120020554225,-0.004156484897717129,-0.004222538509399903,0.015692566334692414,0.01583659174079684,0.200351668212544,-4.644190455738336,-4.703158875097927,0.3818285235448497,0.3458822377320507,0.8189420427833182,0.8955519725107556,0.20035166821254397
-8.50495870318339e-239,164.06626315088687,22.94242417265169,20.968936328597792,-23.769256021424702,-26.48978546266045,2.0245851695498107,7.813030237305749,2.1519117610487957e-169,118.24781889756477,0.06700728532902628,0.05698031382491984,0.0360696405042591,0.0746046734083569,0.12616577716318464,0.12011066195642014,0.2651597795957579,0.14751474358823832,0.0822829156669516,0.07855924148650542,0.3624299101206273,0.3647601439288368,0.05745415058140636,0.0736030413422435,-0.050778717047437465,-0.05497617673844413,-0.0004980263293001926,-0.003306524332078993,0.023018270552485464,0.02895580462312593,0.19902320370991672,-4.790149592803744,-5.275281313694285,0.19272440763018667,-0.2673552386697267,0.8032379649983885,1.7317686441656739,0.19902320370991672
2.6410006818670997e-174,224.32916197304112,33.87875507135219,32.684294411347835,-44.1218996152527,2.7605121964652004,15.582923578783824,10.445764977368642,-2.6944895648912333e-232,240.25022285435318,0.11951053124143415,0.0977074080764626,0.01959048760249657,0.10500790452907212,0.15185596151575198,0.14961350661049685,0.35224090207674946,0.07222311128446081,0.1062534923465014,0.104836357097993,0.33154994989290243,0.33243589969330656,0.04088738037808018,0.0815638789413709,-0.10158184138866204,-0.1074668765322176,-0.0030365673585803256,-0.00979250665113367,0.03602224933664515,0.04941517840671876,0.2001063249379081,-5.49385470652472,-5.393784704645369,-0.7158940723515973,-0.9221280926733789,1.9098638002568031,2.2622367872979567,0.2001063249379081
3.636335558791835e-95,309.0904346502735,50.64184760168622,47.15940755037879,-35.215058134384094,35.758674894455595,26.40674771588539,19.00213555681334,1.163221650217067e-185,324.32931508087836,0.2601609626313722,0.26412377057588377,0.014508563050999602,0.2500774615264023,0.206089846846161,0.19769517180736546,0.3842762647480674,0.04452486075382905,0.18013231847653272,0.16367377639744365,0.2703806376584951,0.28045140849466393,0.02136283644857709,0.08916800863168821,-0.1587323475164885,-0.16168277722194704,-0.01577825845292543,-0.020592718285633888,0.06263871369347726,0.07196089621047268,0.2036004968055102,-5.784169162017766,-5.32532970851804,-1.6794260263276044,-1.11229503668938,3.2226117771721534,2.1081477576098964,0.2036004968055102
