,disc,label,meta_G_GAS,meta_G_SOL,metric_Unnamed: 0,metric_corangles_ankle_l,metric_corangles_ankle_r,metric_corangles_hip_l,metric_corangles_hip_r,metric_corangles_knee_l,metric_corangles_knee_r,metric_corangles_trunk,metric_energy,metric_maximize_distance,metric_maxtime,metric_minimize_activation,metric_minimize_passive_torques,metric_minimize_periodic_gait,metric_velocity
0,False,1,1.205,3.076,0,-0.5590231284279686,-0.5525095136514055,0.12088463830088313,-0.4539476394342679,-0.1511989633213415,-0.2138000038918564,-0.1878951711040567,0.6467089542434601,10.205903690292855,1639.0,363.84399747959327,58592.357230960304,231.8570938560458,1.249835390817813
1,False,2,1.205,2.412,0,-0.5095310328187285,-0.5525095136514055,0.21080884897389002,-0.2656538685696406,-0.4243203982243661,-0.1994319771102574,-0.11158877958669527,0.6467089542434601,21.62684931520155,3289.0,174.39003279745603,22930.77640106805,36.31482444075462,1.3173170672538252
2,False,3,2.718,2.8120000000000003,0,-0.6830052663087477,-0.4166992147043153,0.2849956547394803,-0.2019177851048468,-0.2926434045237429,-0.2138000038918564,-0.15313950545023325,0.6467089542434601,14.68633107472498,2507.0,246.7333406635519,316626.4128324381,33.252950154991396,1.1743562169068282
3,False,4,0.974,3.34,0,-0.6408835874613289,-0.5779720950000864,0.1703883333859946,-0.17987181691374765,-0.1511989633213415,-0.05340493818092396,-0.21091115727033674,0.6467089542434601,12.35415056907593,1835.0,317.58226685493014,75351.79803563567,80.8021732945193,1.3498799283144354
4,False,5,1.051,4.0,0,-0.6408835874613289,-0.566210761661448,0.005933778405835921,-0.17987181691374765,-0.21339814347005856,-0.10562645640819812,-0.18382094013584213,0.6467089542434601,15.465358701027705,2947.0,204.9331595409753,36347.16960689969,34.7217429522016,1.05234223960641
5,True,6,1.872,3.34,0,-0.661797213665195,-0.5984538490799377,0.12278157695684652,-0.13896510281787147,-0.12040235595663355,-0.07822399924522704,-0.18459356671120009,0.6467089542434601,25.583281851671487,4000.0,155.5985577954405,18108.66914997392,6.0282650068240775,1.2809874018559415
6,False,7,2.859,3.7359999999999998,0,-0.5910593236264867,-0.5525095136514055,0.33131970150081,-0.38779584214020296,-0.28792016980317536,-0.05194847726540678,-0.04577914377461069,0.6467089542434601,12.824461384150279,2369.0,258.40144908753444,53414.89364465172,32.128476421602656,1.0856933026928812
7,False,8,1.1280000000000001,0.268,0,-0.3423842340042568,-0.2662206277032355,0.12088463830088313,-0.17987181691374765,-0.04974949688505655,-0.19771865127718066,-0.0439887024701271,0.6467089542434601,9.054656356669328,2115.0,254.3454311216161,31251.800088645454,82.82297584043017,0.8593954186692583
8,True,9,1.872,0.0,0,0.471796767704122,0.41596317803462346,-0.18296242185916836,-0.17987181691374765,-0.26272005844268365,-0.22376341213409975,-0.2812374912927797,0.6467089542434601,18.74522414395917,4000.0,153.2173104771565,8393.645515099734,30.438823893210877,0.9391016107599052
9,False,10,1.436,2.144,0,-0.5572676423853898,-0.5819328943441886,0.045280837230140994,-0.20026238806919586,-0.3369642741153418,-0.2801933199751305,-0.31113579195307056,0.6467089542434601,22.87729297308731,3347.0,176.20515006508697,24867.508255999317,32.551322012883666,1.3692065096762565
10,False,11,0.974,0.268,0,-0.5590231284279686,-0.4461611077571196,0.2988729964267408,-0.17987181691374765,-0.07530155977381725,-0.05340493818092396,-0.4187333225140813,0.6467089542434601,10.512899402473412,1707.0,316.01851286499567,51263.41270367259,162.91502978174745,1.2354387090542858
11,False,12,1.59,1.34,0,-0.6408835874613289,-0.5711861820545682,0.12088463830088313,-0.17987181691374765,-0.1511989633213415,-0.2138000038918564,-0.1319971486354015,0.6467089542434601,10.269264155089779,1621.0,347.3701254053061,55637.05633276449,149.60229552046994,1.2709015200912008
12,False,13,1.436,2.412,0,-0.5861771307210278,-0.5643742912737475,0.0028685507482334232,-0.06375063069391539,-0.1491197811112336,-0.15352066412200338,-0.24183637345236395,0.6467089542434601,20.682384314352003,3092.0,191.66382005992764,26441.271470190943,42.63190250791629,1.340154678688782
13,True,14,2.436,1.8760000000000001,0,-0.6408835874613289,-0.6014749290878171,0.14841459710721472,-0.18603742613690424,-0.32550621862787593,-0.2543670870234837,-0.22261176773173275,0.6467089542434601,28.251774493688632,4000.0,157.9502757777123,12204.829479776998,12.160605346454606,1.4144053630587283
14,False,15,2.718,3.604,0,-0.7450417787030174,-0.5711861820545682,0.2876298076811863,-0.17987181691374765,-0.27381096759134604,-0.05456232356087387,-0.05130967818442534,0.6467089542434601,11.435040803778264,2579.0,236.6708587487641,53810.785201295446,108.78628817209277,0.8898462713589425
15,True,16,1.205,1.8760000000000001,0,-0.2777702512419513,-0.42905263315287895,0.07783660457215569,-0.21362975651823135,-0.5329929598582179,-0.2318258805965697,-0.1643125016562087,0.6467089542434601,28.16943542076867,4000.0,144.9972526499335,13928.406532641233,40.27565501306946,1.4102886152501208
