,disc,label,meta_G_GAS,meta_G_SOL,metric_Unnamed: 0,metric_energy,metric_maximize_distance,metric_maxtime,metric_minimize_activation,metric_minimize_passive_torques,metric_minimize_periodic_gait,metric_velocity
0,False,1,1.205,4.8759999999999994,0,0.6467089542434601,9.490481266331756,1701.0,355.3962915612876,184921.0974136977,129.0827692134799,1.1204407854165104
1,False,2,1.205,2.412,0,0.6467089542434601,8.820810193443355,1449.0,394.6951694175896,59176.762497937685,217.43184724171317,1.222544488861923
2,False,3,11.118,3.412,0,0.6467089542434601,22.71531373190492,3679.0,192.3098740958409,15628.259691623272,119.51367469587372,1.2368482770578713
3,False,4,0.974,6.34,0,0.6467089542434601,9.120476288888634,1675.0,357.5235185929756,193140.4719220066,993.5947925777403,1.0933886654415976
4,False,5,1.051,10.0,0,0.6467089542434601,6.938505272742603,1959.0,282.50798465408366,565383.035710279,753.6615901610451,0.7121531692112758
5,False,6,3.9720000000000004,6.34,0,0.6467089542434601,16.580393591216545,3145.0,224.3127737120311,70485.9628290189,20.613554972953345,1.0567303042141083
6,False,7,12.309000000000001,8.536,0,0.6467089542434601,9.465298220012397,2519.0,276.9956913558388,167200.37510679438,203.95646046375057,0.7542698144983427
7,False,8,1.1280000000000001,0.268,0,0.6467089542434601,11.733933689693648,2361.0,217.0798621074308,22897.063184307714,155.7596646677471,0.9970086273012456
8,False,9,3.9720000000000004,0.0,0,0.6467089542434601,9.928034176089175,3125.0,198.78855249597686,14327.9039146107,44.67146735719846,0.6378100063323067
9,False,10,1.436,2.144,0,0.6467089542434601,23.33655386083848,3395.0,171.3462589045291,22650.1845525465,56.60845992553216,1.3771461164020873
10,False,11,0.974,0.268,0,0.6467089542434601,5.729540038819335,1669.0,311.1943050891245,47767.77700412824,96.88937503663486,0.6909413216329021
11,False,12,1.59,1.34,0,0.6467089542434601,8.015863662237036,1337.0,419.6001818590474,67655.0361199481,701.5524298249295,1.2052695054006906
12,False,13,1.436,2.412,0,0.6467089542434601,18.94371629858588,2727.0,215.17930486130402,32646.71749411064,85.77059678607449,1.3923174262040556
13,True,14,8.736,1.8760000000000001,0,0.6467089542434601,27.887523891243358,4000.0,172.2773767057792,10393.130251115834,46.966543980149495,1.3961937435174427
14,False,15,11.118,7.804,0,0.6467089542434601,9.123456024180467,2023.0,340.6451252246684,159496.33818012272,311.5918436458901,0.9058838323970808
15,False,16,1.205,1.8760000000000001,0,0.6467089542434601,8.882444020833502,1431.0,395.4006505583025,60672.007167846816,711.4245297016736,1.2472303123159485
16,True,17,12.309000000000001,1.608,0,0.6467089542434601,28.36700706048048,4000.0,173.28146599869817,9823.845500511134,17.928645660201703,1.4201667033313068
17,True,18,5.163,0.0,0,0.6467089542434601,14.518606038296785,4000.0,166.43276424620302,8207.866455624506,31.17697173071447,0.7277812714937644
18,False,19,9.927,0.268,0,0.6467089542434601,5.740364317167662,1497.0,402.0509868795884,63762.23401342661,119.26919736937492,0.7718556625725462
19,False,20,9.927,0.536,0,0.6467089542434601,5.71173158099162,1555.0,380.3201387930196,60303.51449629626,166.09671987851004,0.7397682390429741
20,False,21,1.1280000000000001,7.071999999999999,0,0.6467089542434601,10.45088184566417,1949.0,315.66739665012176,241275.59691652015,516.7066197862839,1.0758671677623544
21,False,22,1.513,2.144,0,0.6467089542434601,24.136219450539645,3535.0,165.53715906557042,21952.46377079891,42.37426736119483,1.3679247749769472
22,False,23,1.359,8.536,0,0.6467089542434601,12.852289522015235,2287.0,278.30868746180334,97458.48428300793,325.37068414854804,1.1271455661828709
23,True,24,13.5,1.34,0,0.6467089542434601,26.40050327943784,4000.0,170.56908157908498,9427.833732593599,11.131884940564985,1.321846430292834
