,disc,label,meta_G_GAS,meta_G_SOL,metric_Unnamed: 0,metric_corangles_ankle_l,metric_corangles_ankle_r,metric_corangles_hip_l,metric_corangles_hip_r,metric_corangles_knee_l,metric_corangles_knee_r,metric_energy,metric_maximize_distance,metric_maxtime,metric_minimize_activation,metric_minimize_passive_torques,metric_minimize_periodic_gait,metric_velocity
0,False,1,1.205,3.076,0,-0.2127453012566161,0.3740073529354934,0.6895520352367004,0.8926631285624032,0.5296052527113179,0.15856184142912566,0.6467089542434601,10.205903690292855,1639.0,363.84399747959327,58592.357230960304,231.8570938560458,1.249835390817813
1,False,2,1.205,2.412,0,-0.30718680446398977,0.3740073529354934,0.5876970871581174,0.934542397208436,0.6680312388159467,0.4283481646266622,0.6467089542434601,21.62684931520155,3289.0,174.39003279745603,22930.77640106805,36.31482444075462,1.3173170672538252
2,False,3,2.718,2.8120000000000003,0,0.060457373395,0.5054275801318362,0.5103493721452206,0.9397660936424108,0.5362316031176358,0.15856184142912566,0.6467089542434601,14.68633107472498,2507.0,246.7333406635519,316626.4128324381,33.252950154991396,1.1743562169068282
3,False,4,0.974,3.34,0,-0.16194008095515308,0.06254097835574482,0.5822086540581664,0.9220800893737804,0.5296052527113179,0.18570544027607086,0.6467089542434601,12.35415056907593,1835.0,317.58226685493014,75351.79803563567,80.8021732945193,1.3498799283144354
4,False,5,1.051,4.0,0,-0.16194008095515308,0.0880856657001446,0.6611548390664166,0.9220800893737804,0.5180768285694737,0.42717845662135817,0.6467089542434601,15.465358701027705,2947.0,204.9331595409753,36347.16960689969,34.7217429522016,1.05234223960641
5,True,6,1.872,3.34,0,-0.037773515486595764,0.08997630775778126,0.7083128653873272,0.9072052693669324,0.5181156075006118,0.4729865323328852,0.6467089542434601,25.583281851671487,4000.0,155.5985577954405,18108.66914997392,6.0282650068240775,1.2809874018559415
6,False,7,2.859,3.7359999999999998,0,0.050525587246345684,0.3740073529354934,0.4316782177383405,0.9259029052686872,0.349936574932896,0.2781703280361509,0.6467089542434601,12.824461384150279,2369.0,258.40144908753444,53414.89364465172,32.128476421602656,1.0856933026928812
7,False,8,1.1280000000000001,0.268,0,0.3806543248982661,0.4014698733070861,0.6895520352367004,0.9220800893737804,0.2547404976955625,0.799508079813257,0.6467089542434601,9.054656356669328,2115.0,254.3454311216161,31251.800088645454,82.82297584043017,0.8593954186692583
8,True,9,1.872,0.0,0,0.19205007150413972,0.2630385020731483,0.8985399627811006,0.9220800893737804,0.5164942206090396,0.4035734072405112,0.6467089542434601,18.74522414395917,4000.0,153.2173104771565,8393.645515099734,30.438823893210877,0.9391016107599052
9,False,10,1.436,2.144,0,-0.22559061032876054,0.04312433444149028,0.7619124143608812,0.9184590360534648,0.7469308467646649,0.5037543311940994,0.6467089542434601,22.87729297308731,3347.0,176.20515006508697,24867.508255999317,32.551322012883666,1.3692065096762565
10,False,11,0.974,0.268,0,-0.2127453012566161,0.398071657968264,0.3630267714930079,0.9220800893737804,-0.0733176408919782,0.18570544027607086,0.6467089542434601,10.512899402473412,1707.0,316.01851286499567,51263.41270367259,162.91502978174745,1.2354387090542858
11,False,12,1.59,1.34,0,-0.16194008095515308,0.10506674001405893,0.6895520352367004,0.9220800893737804,0.5296052527113179,0.15856184142912566,0.6467089542434601,10.269264155089779,1621.0,347.3701254053061,55637.05633276449,149.60229552046994,1.2709015200912008
12,False,13,1.436,2.412,0,-0.15652406488849072,-0.07630807391512799,0.8168238461345769,0.8685298093745957,0.5662621863884034,0.5644221240325131,0.6467089542434601,20.682384314352003,3092.0,191.66382005992764,26441.271470190943,42.63190250791629,1.340154678688782
13,True,14,2.436,1.8760000000000001,0,-0.16194008095515308,-0.006806111231407167,0.6767131167909809,0.925734177933297,0.6304414989036456,0.5651986348281338,0.6467089542434601,28.251774493688632,4000.0,157.9502757777123,12204.829479776998,12.160605346454606,1.4144053630587283
14,False,15,2.718,3.604,0,0.16589601571995685,0.10506674001405893,0.4995291391202703,0.9220800893737804,0.4553742888321487,0.2910482698775953,0.6467089542434601,11.435040803778264,2579.0,236.6708587487641,53810.785201295446,108.78628817209277,0.8898462713589425
15,True,16,1.205,1.8760000000000001,0,-0.4995909227836074,-0.09628028948000897,0.7326022072893381,0.919282121686846,0.8837316602682911,0.6465349558495471,0.6467089542434601,28.16943542076867,4000.0,144.9972526499335,13928.406532641233,40.27565501306946,1.4102886152501208
16,False,17,2.859,1.608,0,-0.2127453012566161,0.3740073529354934,0.5807404853651571,0.9351804112242148,0.5914371382698214,-0.0543547806479304,0.6467089542434601,13.408980581973355,2008.0,299.2985422710613,41850.41876663431,45.32161613375774,1.3391821287545649
17,False,18,2.013,0.0,0,-0.2127453012566161,0.3740073529354934,0.6895520352367004,0.9220800893737804,0.5296052527113179,0.42717845662135817,0.6467089542434601,7.5607663291808285,1744.0,318.32191244992174,46598.90754695503,88.783029945022,0.8712892445856395
18,False,19,2.577,0.268,0,-0.16194008095515308,0.398071657968264,0.3630267714930079,0.8926631285624032,-0.0733176408919782,0.15856184142912566,0.6467089542434601,7.459922885739664,1827.0,311.157669526969,45071.08582997669,70.51969216286041,0.8204037704990064
19,False,20,2.577,0.536,0,0.08206819755989148,0.4444414250006393,0.7326022072893381,0.9220800893737804,0.5272707515575851,0.7328055069748612,0.6467089542434601,9.57124774966748,2471.0,244.2474197165509,23197.94070693612,65.37760073199269,0.777552591238035
20,False,21,1.1280000000000001,3.472,0,-0.16194008095515308,0.0879986750196383,0.6895520352367004,0.912993341018264,0.5272707515575851,0.15856184142912566,0.6467089542434601,12.03426307153996,1939.0,305.0392848354138,53948.820494940956,105.68459089850045,1.2451789834338256
21,False,22,1.513,2.144,0,-0.16194008095515308,0.043667437632616164,0.6895520352367004,0.9339623311813624,0.8867538665941161,0.4819226748959706,0.6467089542434601,14.448802059320988,2139.0,273.42923510454267,33838.47661249629,47.5194247192062,1.3542628056625887
22,False,23,1.359,3.7359999999999998,0,-0.16194008095515308,0.3740073529354934,0.3630267714930079,0.8926631285624032,-0.0733176408919782,0.15856184142912566,0.6467089542434601,9.346085671622301,1515.0,392.4400183766503,88466.36530834803,234.01533964373863,1.2387898144517877
23,True,24,3.0,1.34,0,0.020337020312663042,-0.5402939671612252,0.9202606357616296,0.7031829142259909,0.3112431028237997,0.8013801451841818,0.6467089542434601,27.227398404987248,4000.0,160.60056616283669,11640.898188350076,21.456616389012357,1.3631891194358443
24,False,25,0.897,2.144,0,-0.2127453012566161,0.3740073529354934,0.3630267714930079,0.9220800893737804,-0.0733176408919782,0.42717845662135817,0.6467089542434601,8.861484833117967,1463.0,383.03585972231735,61352.779499140895,653.2346256932756,1.2170722108818497
25,True,26,2.718,2.412,0,-0.19708769914725066,0.0626520526140014,0.7818545060338442,0.9197656963992206,0.6822516215835831,0.5894514481970914,0.6467089542434601,27.19710570529832,4000.0,158.88334996299525,13670.883085876303,27.910777756186754,1.3616745601793605
26,True,27,2.436,4.0,0,0.015199277227150863,0.14439629261068676,0.7772447691047459,0.9150319724385167,0.4988523430291496,0.4464546152386899,0.6467089542434601,26.428316200983037,4000.0,163.0474598720617,15960.30114787455,5.217403710370078,1.3232370068412664
27,False,28,1.359,1.8760000000000001,0,-0.0707717954899933,-0.3639624322800393,0.8197981701594519,0.8886302698398466,0.7480960619131846,0.8740916623034817,0.6467089542434601,20.674212482803433,2983.0,195.53945774871517,21648.118933138423,47.384695774705314,1.3884802343405793
28,False,29,3.0,0.804,0,-0.2127453012566161,0.4666349476098335,0.6895520352367004,0.9220800893737804,-0.0733176408919782,0.15856184142912566,0.6467089542434601,9.464354224641175,2881.0,213.4713594643985,17434.240420643502,96.74591757823453,0.6597307087060971
29,False,30,2.154,0.804,0,-0.16194008095515308,0.4247966747363527,0.3630267714930079,0.9220800893737804,0.5296052527113179,0.42717845662135817,0.6467089542434601,8.832810115502397,1485.0,396.51340139577684,57071.430179529314,234.4885645898457,1.1950097384281946
30,False,31,1.205,0.0,0,-0.2127453012566161,0.4444414250006393,0.13289801455344394,0.9220800893737804,-0.23922307477768234,0.18570544027607086,0.6467089542434601,10.841113025969612,1823.0,297.0919620829673,43113.56548789493,126.42011642735407,1.1932499943863346
31,True,32,1.59,3.7359999999999998,0,0.07303058497212668,0.13768675856001097,0.8984285425989322,0.8115002462240581,0.4730524175694121,0.4917639267167914,0.6467089542434601,23.696511688968354,4000.0,155.17833777826564,35983.099997321515,36.03729738881072,1.1866536104103635
32,False,33,1.436,1.34,0,-0.16194008095515308,0.10506674001405893,0.6895520352367004,0.9220800893737804,0.5296052527113179,0.18570544027607086,0.6467089542434601,10.164350414405042,1613.0,346.03192276339064,61164.480975663,125.60390276419474,1.265454922755504
33,False,34,2.295,1.608,0,-0.5476380530486235,0.2079240993628282,0.6234372566100103,0.9262350045882156,0.7441652025776269,0.3182255543182193,0.6467089542434601,22.09211500586536,3174.0,193.60181573101409,20038.28039719626,16.231185976460647,1.394358400776328
34,False,35,1.205,3.7359999999999998,0,0.007069887937896162,0.10506674001405893,0.6895520352367004,0.9132527092284796,0.3342695066232688,0.4643732647949134,0.6467089542434601,13.725992191231954,2501.0,227.6662552956681,50198.920403985896,96.38381330577559,1.1005708751067211
35,False,36,1.205,0.268,0,-0.2127453012566161,0.10506674001405893,0.6895520352367004,0.9220800893737804,0.5296052527113179,0.42717845662135817,0.6467089542434601,9.713961489799514,1708.0,317.58045363734124,53718.798733876836,92.23845643710932,1.1417525655836285
36,False,37,0.82,3.208,0,-0.16194008095515308,0.3740073529354934,0.6895520352367004,0.9220800893737804,-0.0733176408919782,0.15856184142912566,0.6467089542434601,10.765208210696708,1681.0,349.96820758411127,64949.79580746774,130.74692824541287,1.2845369064859409
37,False,38,2.154,1.34,0,0.08206819755989148,0.10506674001405893,0.3630267714930079,0.8866793572065529,0.651998077982633,0.15856184142912566,0.6467089542434601,16.116315946983658,2359.0,246.72442580421932,29403.461724430737,92.96406567011988,1.3693365363936791
38,True,39,1.872,1.8760000000000001,0,-0.27476877828780805,-0.18229310156745895,0.750480548957663,0.8919058129252401,0.8613597389712889,0.8123689693294348,0.6467089542434601,27.16287332156887,4000.0,148.58490287642957,15863.510628540218,39.036820355339216,1.3599630265695688
39,False,40,0.897,2.68,0,-0.16194008095515308,0.060848102590822364,0.9019086850772308,0.9045074146706178,0.7718344028337165,0.42717845662135817,0.6467089542434601,20.57781006979181,3012.0,190.7994298678901,27487.360607214003,52.196768963461544,1.3688040131894863
40,True,41,1.436,2.944,0,0.015310646846097866,-0.0777988412894254,0.8682787386790418,0.8180952386236949,0.44653830819650603,0.4800742354437435,0.6467089542434601,25.16913587338225,4000.0,150.7579252122924,18619.22874202914,5.975259703503814,1.2602811382546608
41,True,42,1.513,1.608,0,-0.3726463649643452,-0.11035701289686332,0.6914848860833814,0.8873330859174547,0.84081415854886,0.3433132485263577,0.6467089542434601,27.457039068814574,4000.0,144.1724830296286,14259.994158362257,30.079527648299702,1.3746705785542541
42,True,43,1.282,3.7359999999999998,0,0.011933343545567224,0.3492052867023043,0.3843965190714385,0.9470197736609428,0.19936842090953208,0.33411889251903304,0.6467089542434601,25.476972990226287,4000.0,150.91348639315692,22046.404507202176,10.392484197874431,1.2756722245425476
43,False,44,2.013,1.072,0,-0.16194008095515308,0.4444414250006393,0.3630267714930079,0.6633932172768636,-0.1559103570740225,0.5116828034700128,0.6467089542434601,13.77629760199826,2259.0,256.32521953467307,25504.855108622134,52.286716482883975,1.2225900322904972
44,True,45,2.859,3.076,0,-0.04341548997087922,0.13285352393032254,0.759500697393995,0.9220800893737804,0.5619721121686561,0.6345189935974019,0.6467089542434601,27.5200605537699,4000.0,161.4388285355728,14035.634572016384,5.948553530745734,1.3778214952561845
45,True,46,1.731,3.208,0,-0.03654809798007856,-0.04286585896084685,0.7904198744376646,0.8690340457050363,0.4959588436619278,0.4906616962643964,0.6467089542434601,25.54946798972338,4000.0,153.89234251718614,17971.443243660797,7.346257656185286,1.2792967932889645
46,False,47,0.897,2.412,0,-0.16194008095515308,0.044183588100967584,0.7376596944490803,0.9220800893737804,0.5272707515575851,0.42717845662135817,0.6467089542434601,13.041836642867635,2001.0,285.2976578237978,45859.15872512414,134.4885838365903,1.3074354074089198
47,False,48,0.897,1.072,0,-0.16194008095515308,0.10506674001405893,0.3630267714930079,0.9220800893737804,-0.0733176408919782,0.15856184142912566,0.6467089542434601,8.8633248053402,1483.0,368.90585395664,58349.88150461006,677.4207589995667,1.2000905997290396
