,disc,label,meta_G_SOL,meta_G_TA,metric_Unnamed: 0,metric_energy,metric_maximize_distance,metric_maxtime,metric_minimize_activation,metric_minimize_passive_torques,metric_minimize_periodic_gait,metric_velocity
0,False,1,4.8759999999999994,1.02,0,0.6467089542434601,13.304390610234105,2781.0,213.85377328597957,38170.61997647189,48.27358992371045,0.9591759729034754
1,True,2,2.412,1.02,0,0.6467089542434601,26.588465110954232,4000.0,145.7588201777364,15306.18880965673,9.2928842159715,1.3312440519875683
2,False,3,3.412,2.858,0,0.6467089542434601,8.054566943662817,1351.0,447.0577775755117,36604421.12259463,1206.917597427268,1.1979739624741927
3,False,4,6.34,0.738,0,0.6467089542434601,9.57139152573538,1747.0,344.7870379134272,410849.4793656552,152.81343259708797,1.1004510648861403
4,False,5,10.0,0.8320000000000001,0,0.6467089542434601,6.124163648528093,1601.0,372.0868559213623,210073.04961187227,175.88924945679784,0.769853925709443
5,False,6,6.34,1.832,0,0.6467089542434601,13.793926085504566,2516.0,254.635878188963,1879725.3345654025,101.47254437809549,1.0994096859039275
6,False,7,8.536,3.029,0,0.6467089542434601,8.799332677350174,1623.0,399.05531874749084,56599276.30792682,1913.4947983499303,1.0884443712526437
7,False,8,0.268,0.926,0,0.6467089542434601,6.944218846242378,1710.0,321.9055714706557,44845.9363999103,61.74964102414045,0.8165087146641175
8,False,9,0.0,1.832,0,0.6467089542434601,8.245578262992392,1501.0,369.5695272019928,54209.623145334415,64.97147352309536,1.103119647868228
9,False,10,2.144,1.302,0,0.6467089542434601,8.820042349729212,1445.0,387.72999222776565,59287.444803490136,660.7629179299023,1.2263310982388698
10,False,11,0.268,0.738,0,0.6467089542434601,10.052624193067722,3159.0,173.99598422771408,14523.041945113733,76.77945546917744,0.6387928188098823
11,False,12,1.34,1.49,0,0.6467089542434601,8.034046790810232,1337.0,417.8381125898711,67644.49720731232,700.7764445548543,1.2065461829089097
12,False,13,2.412,1.302,0,0.6467089542434601,15.571224955821936,2395.0,239.84243416535884,29749.497373536367,31.07501566324148,1.30324556472193
13,False,14,1.8760000000000001,2.516,0,0.6467089542434601,15.450820250901096,2283.0,265.04435748023064,16758610.483623395,48.43822901505409,1.3566232305994013
14,False,15,7.804,2.858,0,0.6467089542434601,8.899391105903883,1459.0,436.60039052492385,23586736.89666938,314.48166509704214,1.225272591
15,False,16,1.8760000000000001,1.02,0,0.6467089542434601,21.4415335457298,3045.0,186.51687041023084,23479.924172381117,31.02121199932884,1.4107901949809585
16,False,17,1.608,3.029,0,0.6467089542434601,12.570737246828447,1961.0,301.57269913750395,13932406.42439358,52.04056249144618,1.2859239591718
17,False,18,0.0,2.003,0,0.6467089542434601,6.516287893795379,1741.0,319.0907482026088,40379.814484105686,198.33944901881958,0.7528181790312405
18,False,19,0.268,2.6870000000000003,0,0.6467089542434601,7.554334349590125,2233.0,241.35381087914814,25623.920331302066,140.70917998482687,0.6801112176334045
19,False,20,0.536,2.6870000000000003,0,0.6467089542434601,8.08714627602607,2200.0,251.34593614503711,27960.959769889767,136.17983864422484,0.7385595353947475
20,False,21,7.071999999999999,0.926,0,0.6467089542434601,9.456688023480574,1757.0,350.6555569454805,340606.9095164634,98.5865116868519,1.0807552870041
21,True,22,2.144,1.396,0,0.6467089542434601,27.29456123526661,4000.0,146.6573970081932,15411.394125101046,50.29748387629726,1.3665470930511316
22,False,23,8.536,1.2080000000000002,0,0.6467089542434601,6.142100122590251,1607.0,374.5112787344873,198223.10025004586,183.4755837750924,0.7688289743021344
23,False,24,1.34,3.2,0,0.6467089542434601,8.032022253585303,1349.0,427.94910957920763,66116.49595176727,709.0351110601317,1.1960529756092575
24,False,25,2.144,0.644,0,0.6467089542434601,15.605615740344017,2383.0,233.70037668540328,34477.709298703645,39.9421403001681,1.3130235784116675
25,False,26,2.412,2.858,0,0.6467089542434601,8.717256823615303,1411.0,429.7981369260569,546131.1207818845,417.2678465652788,1.2402612263019557
26,False,27,10.0,2.516,0,0.6467089542434601,8.207690301890802,1415.0,440.48835013076217,30900191.38520529,685.8940390381622,1.165762402762767
27,True,28,1.8760000000000001,1.2080000000000002,0,0.6467089542434601,27.92625985122221,4000.0,146.2143143018634,12564.553016427375,22.21570997168647,1.3981304446813274
28,True,29,0.804,3.2,0,0.6467089542434601,19.584783148543085,4000.0,148.17460471332828,7775.058334092105,52.56383372076664,0.981077462196526
29,False,30,0.804,2.174,0,0.6467089542434601,6.941295938513355,2035.0,272.8216171409805,32305.51735996924,54.2000507637111,0.6855641563226479
30,True,31,0.0,1.02,0,0.6467089542434601,13.7250855051146,4000.0,137.9342206895668,8208.037613992854,41.34861549009993,0.6881072285368058
31,False,32,8.536,1.49,0,0.6467089542434601,10.757946673858758,1873.0,336.3286177446273,200497.4066121445,100.29578391037808,1.1524011364976017
32,False,33,1.34,1.302,0,0.6467089542434601,9.849448992701452,1599.0,341.9834104901681,49522.88253280701,256.03818364013506,1.2365177795837008
33,False,34,1.608,2.345,0,0.6467089542434601,9.918990616826877,1535.0,378.33311711395316,61210.46739908517,191.78011079472438,1.2976329714162356
34,False,35,8.536,1.02,0,0.6467089542434601,9.017800718406766,1909.0,325.4802477023263,503863.5073700624,108.29813162459236,0.9486222387657328
35,False,36,0.268,1.02,0,0.6467089542434601,7.519624105229063,2154.0,236.88006754062943,29917.136782852685,64.23523341479263,0.7016406348603191
36,False,37,5.6080000000000005,0.55,0,0.6467089542434601,9.335798312881003,1711.0,351.68139931850044,310431.43840285373,91.34101463597788,1.09555230081011
